Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSBTAG00000004428	H2AZ1	heart	present	gold quality	92.64
ENSBTAG00000004428	H2AZ1	heart	present	gold quality	91.27
ENSBTAG00000004428	H2AZ1	brain	present	gold quality	94.69
ENSBTAG00000004428	H2AZ1	cerebral cortex	present	gold quality	95.51
ENSBTAG00000004428	H2AZ1	cerebral cortex	present	gold quality	96.08
ENSBTAG00000004428	H2AZ1	retina	present	gold quality	96.93
ENSBTAG00000004428	H2AZ1	pons	present	gold quality	91.55
ENSBTAG00000004428	H2AZ1	pons	present	gold quality	94.22
ENSBTAG00000004428	H2AZ1	ovary	present	gold quality	98.02
ENSBTAG00000004428	H2AZ1	ovary	present	gold quality	97.97
ENSBTAG00000004428	H2AZ1	ovary	present	gold quality	97.23
ENSBTAG00000004428	H2AZ1	ovary	present	gold quality	96.07
ENSBTAG00000004428	H2AZ1	uterus	present	gold quality	95.63
