gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,surface of tongue,61.205,0.0353553390593253,2,present_gold,MACROH2A2:VGNC:55987,variant,61.205,61.205
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,temporal cortex,73.86000000000001,0.098994949366117,2,present_gold,MACROH2A2:VGNC:55987,variant,73.86000000000001,73.86000000000001
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,testis,59.833333333333336,8.5055691559511,6,present_gold,MACROH2A2:VGNC:55987,variant,59.833333333333336,59.833333333333336
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,theca cell,83.13,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,83.13,83.13
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,thymus,72.1,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,72.1,72.1
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,thyroid gland,66.91,9.9136370722354,2,present_gold,MACROH2A2:VGNC:55987,variant,66.91,66.91
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,tongue,56.04333333333333,3.648867404186309,3,present_gold,MACROH2A2:VGNC:55987,variant,56.04333333333333,56.04333333333333
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,tongue muscle,58.725,0.0212132034355972,2,present_gold,MACROH2A2:VGNC:55987,variant,58.725,58.725
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,trachea,54.195,0.0212132034355972,2,present_gold,MACROH2A2:VGNC:55987,variant,54.195,54.195
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,triceps brachii,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:55987,variant,0.0,0.0
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,ureter,61.765,0.0353553390593253,2,present_gold,MACROH2A2:VGNC:55987,variant,61.765,61.765
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,urethra,70.28999999999999,0.0141421356237281,2,present_gold,MACROH2A2:VGNC:55987,variant,70.28999999999999,70.28999999999999
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,urinary bladder,53.22,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,53.22,53.22
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,uterine cervix,88.63,0.0282842712474663,2,present_gold,MACROH2A2:VGNC:55987,variant,88.63,88.63
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,uterine horn,78.8,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,78.8,78.8
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,uterine tube infundibulum,87.98,5.939696961967004,2,present_gold,MACROH2A2:VGNC:55987,variant,87.98,87.98
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,uterus,79.22333333333334,4.7998993044993465,3,present_gold,MACROH2A2:VGNC:55987,variant,79.22333333333334,79.22333333333334
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,vas deferens,84.59,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,84.59,84.59
