gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC8,clustered,brain,conservative,4,54.01500000000001,felis_catus,Felis catus,bos_taurus,Bos taurus,felis_catus,Felis catus,91.86500000000001,human,Homo sapiens,54.24578947368421,37.6192105263158
H2AC25,clustered,cerebral cortex,conservative,5,51.135000000000005,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,80.33,canis_lupus_familiaris,Canis lupus familiaris,42.875,37.455
H2AC19,clustered,bone marrow,high_confidence,4,68.0,pan_troglodytes,Pan troglodytes,equus_caballus,Equus caballus,bos_taurus,Bos taurus,69.07,equus_caballus,Equus caballus,31.75,37.31999999999999
H2AC21,clustered,colon,high_confidence,5,64.365,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,95.985,human,Homo sapiens,58.904444444444444,37.080555555555556
H2AC20,clustered,testis,high_confidence,5,54.83666666666667,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,felis_catus,Felis catus,79.07000000000001,equus_caballus,Equus caballus,42.20333333333333,36.866666666666674
H2AC25,clustered,cerebral cortex,conservative,5,51.135000000000005,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,83.08,bos_taurus,Bos taurus,46.245000000000005,36.834999999999994
H2AC11,clustered,testis,high_confidence,6,54.6725,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,86.02,bos_taurus,Bos taurus,49.2425,36.777499999999996
H2AC6,clustered,spleen,high_confidence,6,65.41,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,67.77333333333333,felis_catus,Felis catus,31.04,36.73333333333333
H2AC6,clustered,testis,conservative,7,48.306666666666665,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,81.27,canis_lupus_familiaris,Canis lupus familiaris,44.56875,36.701249999999995
H2AX,variant,adipose tissue,conservative,5,48.96000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,mus_musculus,Mus musculus,76.695,canis_lupus_familiaris,Canis lupus familiaris,40.66,36.035
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,macaca_mulatta,Macaca mulatta,59.330000000000005,canis_lupus_familiaris,Canis lupus familiaris,23.59,35.74000000000001
H2AC14,clustered,testis,high_confidence,5,81.27,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,94.05,bos_taurus,Bos taurus,58.612,35.437999999999995
H2AC11,clustered,testis,high_confidence,6,54.6725,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,66.72461538461538,canis_lupus_familiaris,Canis lupus familiaris,31.3475,35.37711538461538
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,58.906666666666666,canis_lupus_familiaris,Canis lupus familiaris,23.59,35.31666666666666
H2AC25,clustered,ovary,conservative,4,53.07333333333334,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,77.035,canis_lupus_familiaris,Canis lupus familiaris,41.75,35.285
H2AC6,clustered,adult mammalian kidney,high_confidence,7,64.89833333333334,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,61.29,felis_catus,Felis catus,26.035,35.254999999999995
MACROH2A2,variant,zone of skin,conservative,5,48.07000000000001,human,Homo sapiens,felis_catus,Felis catus,equus_caballus,Equus caballus,65.74000000000001,felis_catus,Felis catus,30.5,35.24000000000001
H2AC13,clustered,bone marrow,conservative,5,53.120000000000005,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,75.53999999999999,canis_lupus_familiaris,Canis lupus familiaris,40.5,35.03999999999999
MACROH2A2,variant,zone of skin,conservative,5,48.07000000000001,human,Homo sapiens,felis_catus,Felis catus,bos_taurus,Bos taurus,64.92666666666666,felis_catus,Felis catus,30.5,34.42666666666666
H2AC21,clustered,colon,high_confidence,5,64.365,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,95.985,pan_troglodytes,Pan troglodytes,61.73,34.255
H2AX,variant,adipose tissue,conservative,5,48.96000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,74.88,canis_lupus_familiaris,Canis lupus familiaris,40.66,34.22
H2AC6,clustered,spleen,high_confidence,6,65.41,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,bos_taurus,Bos taurus,65.19,felis_catus,Felis catus,31.04,34.15
H2AC25,clustered,cerebral cortex,conservative,5,51.135000000000005,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,80.33,bos_taurus,Bos taurus,46.245000000000005,34.084999999999994
H2AC6,clustered,cerebellum,high_confidence,6,54.21416666666667,equus_caballus,Equus caballus,bos_taurus,Bos taurus,pan_troglodytes,Pan troglodytes,77.1525,bos_taurus,Bos taurus,43.593333333333334,33.55916666666667
H2AC14,clustered,testis,high_confidence,5,81.27,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,94.05,macaca_mulatta,Macaca mulatta,60.586666666666666,33.46333333333333
H2AC6,clustered,prefrontal cortex,high_confidence,6,68.39111111111113,human,Homo sapiens,felis_catus,Felis catus,pan_troglodytes,Pan troglodytes,74.22181818181818,bos_taurus,Bos taurus,41.08,33.14181818181818
H2AC20,clustered,prefrontal cortex,high_confidence,4,56.2825,macaca_mulatta,Macaca mulatta,felis_catus,Felis catus,macaca_mulatta,Macaca mulatta,68.9725,equus_caballus,Equus caballus,36.42,32.552499999999995
H2AC6,clustered,testis,conservative,7,48.306666666666665,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,81.27,macaca_mulatta,Macaca mulatta,48.74,32.529999999999994
H2AC20,clustered,prefrontal cortex,high_confidence,4,56.2825,macaca_mulatta,Macaca mulatta,felis_catus,Felis catus,human,Homo sapiens,44.974000000000004,felis_catus,Felis catus,12.69,32.284000000000006
